Additional Energy consumption breakdown,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51
Electrolysers,0.002,0.120,0.192,0.736,2.491,3.128,3.746,4.764,4.839,5.433,6.180,6.846,7.205,7.224,7.230,7.098,7.489,8.656,9.563,10.956,12.104,13.001,14.900,15.637,16.005,16.353,16.380
Large industry Fuel Switching,0.249,0.311,0.414,0.516,0.619,0.722,0.825,0.960,1.096,1.231,1.367,1.502,1.685,1.867,2.050,2.232,2.415,2.790,3.165,3.539,3.914,4.289,4.906,5.523,6.140,6.757,7.375
