Scenario,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50
Electric Engagement,41090,67918,95446,136844,181760,221616,281358,396114,535518,700523,874483,1034910,1202726,1374789,1550172,1727544,1903881,2060637,2220218,2366877,2505193,2627557,2736259,2835864,2922621,3006356
Hydrogen Evolution,41090,67585,94744,135187,180307,221808,282017,396873,536149,701133,874982,1003322,1109375,1204469,1292135,1372957,1445136,1537061,1627116,1710974,1787854,1852846,1913814,1968096,2014578,2052678
Holistic Transition,41090,67918,95446,136844,181760,221935,282268,397253,537003,702286,876523,1055462,1245757,1440722,1638084,1835137,2028725,2199852,2380243,2544411,2699063,2840712,2962462,3070046,3160636,3246143
NPg Reference Scenario,41090,67918,95446,136844,181760,221935,282268,397253,537003,702286,876523,1055462,1245757,1440722,1638084,1835137,2028725,2199852,2380243,2544411,2699063,2840712,2962462,3070046,3160636,3246143
Falling Behind,38748,58446,69661,82581,107553,136654,166750,195587,244195,300801,359633,420976,473055,527060,583364,641605,700016,764888,828875,884406,936382,987626,1034263,1068005,1097761,1127091
