Scenario,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51
Electric Engagement,33.4,33.7,34.8,35.6,36.7,37.7,39.0,40.6,42.2,43.9,45.6,47.4,49.3,51.2,53.0,54.8,56.6,57.5,58.4,59.3,60.0,60.7,61.2,61.6,62.0,62.6,62.7
Hydrogen Evolution,33.4,33.8,35.0,35.8,37.0,38.1,39.5,41.1,42.9,44.6,46.5,48.2,50.0,51.5,53.0,54.4,55.6,56.6,57.4,58.3,59.1,59.8,60.3,60.8,61.2,61.6,61.8
Holistic Transition,33.4,33.7,34.8,35.6,36.7,37.7,39.0,40.5,42.2,43.9,45.6,47.4,49.6,51.6,53.6,55.4,57.3,58.1,58.9,59.6,60.2,60.8,61.2,61.5,61.8,62.1,62.1
