Scenario,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50
Electric Engagement,703,2138,4167,6905,10446,14822,20012,25839,32112,38635,45132,51201,56894,62090,66688,70659,73981,76672,78792,80421,81622,82493,83101,83511,83795,83978
Hydrogen Evolution,703,2138,4167,6905,10446,14822,20012,25839,32112,38635,45132,50216,55171,59875,64191,68050,71406,74230,76540,78357,79725,80718,81417,81891,82211,82416
Holistic Transition,703,2138,4167,6905,10446,14822,20012,25839,32112,38635,45132,51201,56894,62090,66688,70659,73981,76672,78792,80421,81622,82493,83101,83511,83795,83978
