Scenario,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51
Electric Engagement,3.609,3.746,4.016,4.587,4.920,5.426,5.709,6.292,7.321,8.310,9.323,10.358,10.672,10.828,10.981,11.150,11.335,11.515,11.702,11.884,12.070,12.253,12.449,12.604,12.759,12.910,12.910
Hydrogen Evolution,3.609,3.746,4.016,4.587,4.920,5.426,5.709,6.292,7.321,8.310,9.323,10.274,10.448,10.477,10.509,10.541,10.576,10.608,10.642,10.676,10.712,10.749,10.786,10.822,10.861,10.900,10.900
Holistic Transition,3.609,3.746,4.016,4.587,4.920,5.426,5.709,6.292,7.321,8.310,9.323,10.355,10.668,10.811,10.968,11.119,11.291,11.460,11.640,11.811,11.990,12.163,12.351,12.503,12.660,12.812,12.812
