Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
KILLINGHALL ROAD,0.022,0.028,0.034,0.041,0.048,0.056,0.063,0.073,0.083,0.092,0.103,0.114,0.124,0.136,0.147,0.16,0.173,0.187,0.201,0.215,0.229,0.243,0.258,0.271,0.286,0.301,0.301,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KILNHURST,3.783,4.01,4.272,4.558,4.857,5.16,5.471,5.865,6.292,6.676,7.107,7.575,7.969,8.467,8.953,9.485,10.027,10.599,11.17,11.766,12.335,12.937,13.541,14.086,14.706,15.307,15.307,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KING GEORGE DOCK,0.09,0.097,0.106,0.116,0.126,0.136,0.147,0.16,0.174,0.187,0.202,0.218,0.231,0.248,0.264,0.282,0.3,0.32,0.339,0.359,0.378,0.398,0.419,0.437,0.458,0.478,0.478,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KIRK DRIVE,0.922,1.018,1.128,1.249,1.375,1.503,1.634,1.8,1.98,2.142,2.324,2.521,2.687,2.897,3.102,3.326,3.555,3.796,4.037,4.288,4.528,4.782,5.036,5.266,5.528,5.781,5.781,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KIRK SANDALL,1.99,2.09,2.205,2.331,2.462,2.595,2.732,2.905,3.093,3.262,3.451,3.657,3.83,4.048,4.262,4.496,4.734,4.986,5.236,5.498,5.748,6.013,6.278,6.518,6.79,7.054,7.054,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KIRKBURN,0.851,0.898,0.951,1.01,1.071,1.133,1.197,1.277,1.365,1.443,1.532,1.627,1.708,1.81,1.909,2.018,2.129,2.246,2.363,2.485,2.601,2.725,2.848,2.96,3.087,3.21,3.21,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
KIVETON PARK,1.996,2.082,2.181,2.289,2.402,2.517,2.634,2.783,2.944,3.089,3.252,3.429,3.578,3.766,3.95,4.151,4.356,4.572,4.787,5.013,5.228,5.455,5.683,5.889,6.124,6.35,6.35,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEA ROAD,1.078,1.117,1.162,1.211,1.262,1.314,1.367,1.435,1.508,1.574,1.648,1.728,1.795,1.88,1.963,2.055,2.147,2.245,2.343,2.445,2.543,2.646,2.749,2.842,2.949,3.051,3.051,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEASOWE ROAD,0.975,1.05,1.137,1.232,1.331,1.431,1.534,1.665,1.806,1.934,2.077,2.232,2.362,2.527,2.689,2.865,3.045,3.235,3.424,3.621,3.81,4.01,4.21,4.39,4.596,4.795,4.795,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEDSTON,1.572,1.683,1.81,1.95,2.095,2.243,2.395,2.587,2.795,2.983,3.193,3.421,3.613,3.856,4.093,4.353,4.617,4.896,5.175,5.466,5.743,6.037,6.331,6.597,6.9,7.193,7.193,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEEDS ROAD,0.754,0.802,0.858,0.92,0.983,1.048,1.115,1.199,1.29,1.372,1.465,1.565,1.649,1.755,1.859,1.973,2.089,2.211,2.333,2.461,2.582,2.711,2.84,2.956,3.089,3.217,3.217,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEGRAMS MILL LANE,0.506,0.587,0.68,0.782,0.889,0.997,1.108,1.248,1.4,1.537,1.691,1.858,1.998,2.176,2.349,2.539,2.732,2.936,3.14,3.352,3.555,3.77,3.985,4.179,4.4,4.615,4.615,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LEYLANDS ROAD,0.076,0.098,0.123,0.15,0.178,0.207,0.237,0.274,0.315,0.351,0.392,0.437,0.474,0.522,0.568,0.618,0.67,0.724,0.779,0.835,0.889,0.946,1.004,1.056,1.115,1.172,1.172,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LIVERSEDGE,1.103,1.184,1.278,1.38,1.486,1.595,1.705,1.846,1.998,2.136,2.29,2.456,2.597,2.775,2.948,3.138,3.332,3.536,3.74,3.952,4.155,4.37,4.586,4.78,5.002,5.216,5.216,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LOUTH,1.235,1.307,1.39,1.481,1.576,1.672,1.77,1.895,2.03,2.152,2.289,2.437,2.562,2.72,2.874,3.043,3.215,3.396,3.577,3.766,3.946,4.137,4.329,4.501,4.698,4.889,4.889,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LOW MOOR,0.535,0.584,0.641,0.703,0.768,0.834,0.902,0.987,1.08,1.164,1.257,1.359,1.445,1.553,1.658,1.774,1.892,2.016,2.14,2.27,2.394,2.524,2.656,2.774,2.909,3.039,3.039,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LOWFIELDS,0.026,0.029,0.032,0.036,0.04,0.044,0.047,0.052,0.058,0.062,0.068,0.074,0.079,0.085,0.091,0.098,0.104,0.112,0.119,0.126,0.133,0.141,0.148,0.155,0.163,0.17,0.17,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
LOXLEY ROAD,0.189,0.199,0.209,0.221,0.233,0.245,0.258,0.274,0.291,0.306,0.324,0.343,0.358,0.379,0.398,0.42,0.442,0.465,0.488,0.512,0.535,0.559,0.583,0.605,0.631,0.655,0.655,NPgY,Primary,NG FES - Electric Engagement (without DH HPs),Total installed PV capacity - domestic (MW)
