Primary,2023/24,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
BLAYDON BURN	14.046	14.046	14.046	14.26	14.502	14.784	15.132	15.708	16.424	17.188	17.948	18.619	19.321	20.178	21.057	21.927	22.857	23.466	24.123	24.773	25.381	25.915	26.384	26.79	27.358	27.918	27.922	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BLUCHER 33/11KV	12.881	13.138	13.138	13.583	14.093	14.657	15.316	16.2	17.183	18.219	19.216	20.073	20.981	22.044	23.133	24.19	25.292	26.025	26.828	27.578	28.278	28.891	29.424	29.866	30.488	31.098	31.106	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BOLDON DOWNHILL	8.841	9.341	9.341	9.524	9.708	9.924	10.204	10.605	11.278	11.968	12.649	13.283	13.933	14.683	15.461	16.247	17.088	17.63	18.264	18.862	19.421	19.911	20.336	20.688	21.177	21.645	21.647	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL	4.243	4.531	4.531	4.757	5.014	5.313	5.673	6.12	6.558	6.984	7.417	7.855	8.253	8.645	9.001	9.317	9.605	9.794	9.923	10.015	10.073	10.113	10.137	10.138	10.185	10.23	10.259	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BOWESFIELD 33/11KV	11.671	12.666	12.666	13.01	13.394	13.834	14.363	15.032	15.745	16.497	17.237	17.91	18.616	19.418	20.252	21.058	21.889	22.465	23.068	23.627	24.149	24.613	25.023	25.367	25.828	26.28	26.366	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BOWESFIELD 66/11KV	14.08	14.08	14.08	14.385	14.715	15.08	15.507	16.093	16.537	17.011	17.456	17.825	18.246	18.764	19.321	19.854	20.41	20.802	21.196	21.574	21.939	22.272	22.577	22.843	23.2	23.564	23.678	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BRANCEPETH	14.991	14.991	14.991	15.902	16.787	17.539	18.339	19.601	21.158	22.78	24.592	26.737	28.772	31.132	33.58	36.103	38.72	40.093	40.886	41.547	42.001	42.36	42.652	42.847	43.347	43.866	43.956	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BREAMISH STREET	9.771	11.154	11.154	11.175	11.231	11.337	11.495	11.56	11.64	11.778	11.917	12.034	12.213	12.433	12.686	12.936	13.201	13.371	13.548	13.708	13.858	13.99	14.104	14.189	14.313	14.432	14.461	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
BRENDA TRADING	19.821	21.747	21.747	22.154	22.595	23.115	23.78	24.715	26	27.333	28.645	29.86	31.101	32.517	33.95	35.365	36.855	37.817	38.898	39.896	40.822	41.626	42.317	42.878	43.703	44.496	44.511	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CAMPLESHON ROAD	17.452	17.452	17.452	17.794	18.13	18.51	18.997	19.68	20.566	21.493	22.548	23.78	24.923	26.21	27.538	28.878	30.284	31.14	31.704	32.194	32.586	32.911	33.178	33.37	33.758	34.149	34.18	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CARLEY HILL	15.918	15.918	15.918	16.158	16.4	16.703	17.114	17.68	18.63	19.617	20.59	21.492	22.428	23.506	24.636	25.772	26.987	27.774	28.681	29.526	30.313	30.997	31.587	32.066	32.74	33.381	33.374	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CARLIN HOW T3 T4	15.636	15.636	15.636	16.249	16.81	17.301	17.839	18.808	20.046	21.274	22.703	24.466	26.062	27.906	29.848	31.845	33.934	35.034	35.518	35.926	36.187	36.372	36.496	36.559	36.889	37.239	37.256	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CARR HILL	17.032	17.032	17.032	17.356	17.702	18.107	18.632	19.291	20.461	21.678	22.849	23.89	24.996	26.262	27.553	28.854	30.237	31.111	32.158	33.165	34.114	34.947	35.672	36.27	37.1	37.897	37.874	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CATTERICK CAMP	16.187	16.509	16.509	17.046	17.567	18.09	18.69	19.523	20.403	21.384	22.46	23.691	24.856	26.165	27.502	28.847	30.239	31.084	31.615	32.081	32.46	32.788	33.074	33.296	33.685	34.089	34.25	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CLOSE	22.089	23.406	23.406	23.239	23.163	23.128	23.136	23.039	22.854	22.718	22.635	22.623	22.624	22.637	22.68	22.723	22.766	22.78	22.767	22.736	22.696	22.651	22.601	22.535	22.465	22.388	22.374	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CONEYTHORPE	13.898	15.963	15.963	16.173	16.401	16.656	16.976	17.452	17.98	18.522	19.108	19.741	20.345	21.035	21.726	22.412	23.131	23.581	23.922	24.221	24.478	24.697	24.88	25.014	25.273	25.536	25.561	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CONSETT	22.143	22.143	22.143	22.762	23.358	23.976	24.716	25.899	27.388	28.906	30.486	32.124	33.711	35.544	37.419	39.3	41.276	42.442	43.411	44.319	45.102	45.767	46.328	46.773	47.511	48.243	48.267	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CORPORATION STREET	11.597	11.597	11.597	11.539	11.517	11.522	11.561	11.565	11.595	11.666	11.736	11.789	11.883	12.009	12.154	12.302	12.465	12.56	12.67	12.769	12.863	12.944	13.014	13.063	13.145	13.223	13.207	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
COWTON	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	0.069	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CRAMLINGTON T1 T3	10.683	11.193	11.193	11.249	11.337	11.445	11.586	11.832	12.065	12.338	12.606	12.834	13.086	13.41	13.749	14.078	14.431	14.648	14.869	15.081	15.277	15.446	15.593	15.714	15.905	16.098	16.082	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
CRAMLINGTON T2 T4	10.795	10.795	10.795	10.851	10.949	11.073	11.235	11.487	11.722	11.991	12.257	12.488	12.734	13.031	13.333	13.621	13.917	14.1	14.279	14.445	14.594	14.72	14.826	14.911	15.048	15.185	15.166	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DARLEY	3.417	3.417	3.417	3.579	3.744	3.908	4.129	4.405	4.75	5.113	5.499	5.952	6.375	6.802	7.215	7.621	8.023	8.318	8.574	8.788	8.989	9.18	9.371	9.521	9.678	9.829	9.955	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DARLINGTON 132/6KV	2.596	2.596	2.596	2.795	3.005	3.232	3.499	3.833	4.245	4.683	5.109	5.497	5.903	6.369	6.837	7.301	7.784	8.093	8.425	8.735	9.024	9.278	9.5	9.68	9.941	10.197	10.201	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
DARLINGTON 33/11KV	14.041	14.928	14.928	15.081	15.257	15.483	15.791	16.187	16.788	17.438	18.088	18.71	19.36	20.108	20.87	21.633	22.447	22.963	23.53	24.051	24.532	24.948	25.304	25.584	25.996	26.389	26.372	NPgN	Primary	NG FES - Electric Engagement	Total peak demand with ToUT (MW)
