Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SHARLSTON,1.562,1.586,1.601,1.615,1.633,1.661,1.692,1.737,1.798,1.828,1.888,1.939,1.956,2.003,2.044,2.097,2.148,2.218,2.298,2.404,2.492,2.611,2.741,2.816,2.956,3.077,3.231,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SHEPCOTE TINSLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SHERBURN,0.992,1.005,1.013,1.021,1.031,1.047,1.064,1.089,1.123,1.139,1.173,1.201,1.21,1.236,1.259,1.289,1.317,1.356,1.4,1.459,1.508,1.574,1.646,1.687,1.765,1.832,1.918,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SHIPLEY,0.534,0.55,0.559,0.568,0.579,0.598,0.617,0.646,0.685,0.704,0.743,0.775,0.786,0.816,0.842,0.876,0.909,0.953,1.005,1.072,1.128,1.205,1.287,1.335,1.425,1.502,1.6,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SHIRLAND LANE,0.176,0.179,0.18,0.182,0.184,0.187,0.19,0.195,0.202,0.205,0.212,0.217,0.219,0.224,0.229,0.235,0.24,0.248,0.257,0.268,0.278,0.291,0.305,0.314,0.329,0.342,0.359,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SILVER STREET,0.056,0.059,0.061,0.063,0.065,0.069,0.073,0.078,0.086,0.09,0.098,0.104,0.107,0.113,0.118,0.125,0.131,0.14,0.151,0.164,0.175,0.191,0.207,0.217,0.235,0.251,0.27,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SILVERWOOD,2.572,2.603,2.621,2.639,2.662,2.698,2.738,2.795,2.873,2.911,2.989,3.053,3.075,3.135,3.187,3.255,3.321,3.41,3.513,3.648,3.76,3.913,4.078,4.174,4.353,4.507,4.704,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SKILLINGS LANE,0.872,0.886,0.895,0.903,0.914,0.931,0.949,0.976,1.012,1.03,1.066,1.096,1.106,1.134,1.158,1.19,1.221,1.262,1.31,1.373,1.426,1.497,1.574,1.618,1.702,1.774,1.866,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SKIPTON,1.413,1.456,1.482,1.508,1.541,1.593,1.649,1.73,1.841,1.895,2.006,2.098,2.129,2.215,2.288,2.386,2.479,2.606,2.752,2.944,3.105,3.322,3.557,3.694,3.948,4.169,4.449,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
SLAITHWAITE,0.832,0.847,0.856,0.865,0.876,0.894,0.913,0.941,0.98,0.998,1.036,1.068,1.078,1.108,1.133,1.167,1.199,1.242,1.293,1.359,1.414,1.488,1.569,1.616,1.704,1.779,1.876,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Total installed PV capacity - domestic (MW)
