Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SKILLINGS LANE,1.046,1.132,1.231,1.339,1.452,1.567,1.684,1.833,1.995,2.14,2.303,2.48,2.629,2.818,3.001,3.203,3.408,3.624,3.84,4.066,4.281,4.509,4.737,4.943,5.178,5.405,5.405,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SKIPTON,1.276,1.538,1.841,2.172,2.517,2.867,3.226,3.682,4.175,4.619,5.117,5.658,6.113,6.688,7.25,7.865,8.491,9.153,9.812,10.502,11.159,11.855,12.552,13.182,13.899,14.593,14.593,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SLAITHWAITE,0.971,1.061,1.165,1.279,1.397,1.517,1.641,1.797,1.967,2.119,2.291,2.476,2.633,2.83,3.023,3.235,3.45,3.677,3.904,4.141,4.367,4.606,4.845,5.062,5.308,5.547,5.547,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SLEDMERE GARTH,1.063,1.118,1.182,1.252,1.325,1.399,1.475,1.571,1.675,1.768,1.874,1.988,2.084,2.205,2.324,2.454,2.586,2.725,2.865,3.01,3.149,3.296,3.443,3.576,3.727,3.873,3.873,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SMITH STREET,0.952,1.029,1.117,1.214,1.314,1.417,1.521,1.655,1.798,1.928,2.074,2.231,2.364,2.532,2.696,2.876,3.059,3.252,3.444,3.645,3.837,4.041,4.244,4.428,4.637,4.84,4.84,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SMITHY GREEN,1.076,1.134,1.202,1.275,1.352,1.43,1.51,1.612,1.721,1.82,1.931,2.051,2.153,2.281,2.406,2.543,2.682,2.829,2.976,3.129,3.276,3.431,3.586,3.726,3.886,4.04,4.04,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SNAITHING PARK ROAD,1.387,1.498,1.626,1.766,1.912,2.06,2.212,2.405,2.613,2.801,3.012,3.24,3.433,3.676,3.913,4.174,4.438,4.718,4.997,5.288,5.566,5.86,6.155,6.422,6.725,7.018,7.018,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SNELSINS LANE,0.8,0.884,0.981,1.087,1.197,1.31,1.425,1.571,1.729,1.871,2.03,2.204,2.349,2.534,2.714,2.911,3.111,3.323,3.535,3.755,3.966,4.189,4.412,4.614,4.844,5.066,5.066,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH ELMSALL,1.692,1.788,1.899,2.02,2.147,2.276,2.407,2.575,2.755,2.918,3.101,3.3,3.467,3.678,3.884,4.11,4.339,4.582,4.824,5.077,5.318,5.573,5.829,6.061,6.324,6.578,6.578,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
SOUTH FERRIBY,1.506,1.575,1.655,1.742,1.833,1.926,2.02,2.141,2.271,2.388,2.52,2.662,2.783,2.934,3.083,3.245,3.41,3.585,3.759,3.941,4.115,4.298,4.482,4.649,4.838,5.021,5.021,NPgY,Primary,NG FES - Holistic Transition (without DH HPs),Total installed PV capacity - domestic (MW)
