Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SCISSETT,1157,1841,2603,3411,4304,5257,6396,7489,8549,9566,10531,11430,12265,13053,13770,14406,14972,15449,15850,16180,16457,16686,16851,16991,17106,17206,17206,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SCULCOATES A,326,596,966,1429,1931,2465,3102,3714,4310,4881,5423,5933,6426,6870,7275,7633,7953,8210,8427,8614,8770,8899,8992,9068,9133,9188,9188,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SEACROFT,415,694,1036,1428,1858,2315,2862,3387,3897,4386,4850,5284,5696,6076,6422,6728,7001,7226,7415,7574,7708,7818,7898,7964,8019,8067,8067,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SEATON,522,909,1410,2013,2669,3368,4202,5003,5782,6529,7238,7904,8541,9122,9651,10119,10536,10876,11163,11406,11611,11779,11901,12001,12085,12158,12158,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SELBY,1186,2025,3083,4328,5688,7137,8865,10526,12139,13687,15156,16534,17846,19050,20144,21114,21978,22686,23282,23786,24210,24558,24810,25019,25194,25345,25345,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SELBY ROAD,760,1251,1838,2498,3222,3994,4916,5802,6662,7487,8269,9001,9691,10332,10914,11431,11890,12271,12592,12860,13086,13271,13405,13518,13611,13692,13692,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SHARLSTON,748,1242,1841,2524,3271,4068,5019,5933,6820,7671,8479,9235,9950,10610,11212,11745,12220,12612,12942,13219,13451,13643,13781,13897,13993,14076,14076,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SHEPCOTE TINSLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SHERBURN,384,659,1010,1425,1878,2360,2935,3488,4025,4541,5030,5489,5927,6328,6692,7015,7303,7538,7736,7904,8045,8161,8245,8315,8373,8423,8423,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SHIPLEY,411,708,1086,1534,2023,2544,3166,3763,4343,4900,5428,5924,6397,6830,7224,7573,7884,8138,8352,8533,8686,8811,8902,8977,9040,9094,9094,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SHIRLAND LANE,61,109,173,251,336,426,534,637,738,834,926,1012,1095,1170,1238,1299,1353,1396,1433,1465,1491,1513,1528,1541,1552,1562,1562,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SILVER STREET,30,72,139,232,331,437,563,684,802,915,1022,1124,1224,1312,1392,1463,1527,1577,1619,1656,1687,1712,1731,1746,1758,1769,1769,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SILVERWOOD,935,1573,2363,3278,4279,5345,6617,7840,9027,10166,11247,12260,13222,14107,14912,15626,16261,16784,17224,17595,17906,18163,18348,18502,18631,18742,18742,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SKILLINGS LANE,454,712,989,1274,1590,1928,2331,2719,3094,3454,3796,4113,4406,4685,4938,5163,5363,5534,5677,5794,5892,5972,6031,6081,6122,6157,6157,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SKIPTON,671,1215,1954,2870,3866,4924,6187,7401,8581,9714,10788,11799,12774,13656,14457,15168,15801,16312,16743,17112,17423,17678,17863,18014,18142,18252,18252,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SLAITHWAITE,502,839,1253,1728,2249,2803,3465,4101,4719,5311,5873,6400,6899,7359,7778,8149,8479,8752,8981,9174,9336,9469,9566,9646,9713,9771,9771,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SLEDMERE GARTH,279,469,703,975,1271,1587,1964,2327,2678,3016,3336,3636,3921,4184,4422,4634,4822,4977,5107,5217,5310,5386,5441,5486,5524,5557,5557,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SMITH STREET,346,592,903,1270,1671,2098,2607,3097,3572,4029,4462,4868,5255,5610,5932,6218,6473,6681,6857,7005,7130,7233,7307,7369,7420,7465,7465,NPgY,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric cars and vans (hybrid and full electric)
