Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
WIBSEY,524,943,1506,2202,2958,3761,4720,5642,6538,7398,8214,8981,9720,10389,10997,11537,12017,12268,12475,12650,12794,12910,12989,13053,13108,13156,13156,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WITHERNSEA,177,335,559,843,1152,1480,1870,2246,2612,2963,3296,3609,3913,4187,4435,4655,4852,4953,5036,5108,5167,5214,5246,5272,5295,5314,5314,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WOODCOCK STREET,320,550,843,1190,1568,1970,2451,2913,3361,3792,4200,4583,4949,5284,5588,5858,6098,6225,6330,6418,6490,6548,6587,6620,6647,6672,6672,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WOODSEATS,585,991,1499,2092,2740,3430,4254,5046,5814,6552,7252,7908,8532,9106,9627,10090,10501,10720,10901,11051,11174,11273,11341,11397,11444,11486,11486,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WOOLLEY,581,940,1354,1807,2306,2838,3473,4083,4675,5243,5782,6285,6756,7197,7598,7953,8269,8442,8584,8699,8794,8869,8921,8965,9002,9034,9034,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WORSBROUGH PARK,686,1213,1910,2757,3679,4661,5831,6957,8050,9099,10095,11031,11929,12746,13488,14147,14733,15040,15293,15507,15683,15824,15920,15999,16066,16125,16125,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
WRAWBY,442,723,1054,1422,1827,2258,2773,3268,3748,4209,4646,5055,5439,5796,6122,6410,6667,6806,6921,7014,7091,7152,7194,7230,7259,7286,7286,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
YARBOROUGH ROAD 33/11KV,543,933,1428,2014,2654,3335,4148,4930,5689,6417,7108,7757,8376,8942,9457,9913,10320,10535,10713,10861,10983,11080,11147,11202,11249,11290,11290,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
YEW GREEN ROAD,428,775,1246,1829,2463,3137,3941,4714,5466,6187,6871,7515,8136,8697,9207,9660,10063,10273,10446,10593,10714,10811,10877,10931,10977,11018,11018,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
YORK ROAD,380,729,1231,1874,2571,3311,4194,5043,5868,6660,7412,8121,8809,9426,9988,10485,10928,11156,11344,11506,11639,11746,11819,11877,11928,11972,11972,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
YORK STREET,285,491,753,1065,1405,1768,2200,2615,3018,3406,3773,4118,4447,4748,5022,5264,5480,5594,5689,5768,5832,5884,5920,5949,5974,5996,5996,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Barnsley Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Bradford Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Calderdale Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
County Durham Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Darlington Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Doncaster Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
East Riding of Yorkshire Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Gateshead Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Hambleton Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Harrogate Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Hartlepool Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
"Kingston upon Hull, City of Direct to Supply Points",,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Kirklees Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Leeds Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Newcastle upon Tyne Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
North East Lincolnshire Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
North Lincolnshire Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
North Tyneside Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Northumberland Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Redcar and Cleveland Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Rotherham Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Ryedale Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Scarborough Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Selby Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Sheffield Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
South Tyneside Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Stockton-on-Tees Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Sunderland Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
Wakefield Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
West Lindsey Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgY,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
York Direct to Supply Points,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPgN,Primary,NG FES - Electric Engagement,Number of electric cars and vans (hybrid and full electric)
