Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
SLEDMERE GARTH,279,371,485,621,786,985,1191,1423,1678,1953,2248,2565,2915,3279,3647,4013,4321,4613,4884,5128,5346,5536,5658,5702,5744,5783,5821,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SMITH STREET,346,468,622,809,1034,1304,1583,1896,2240,2611,3009,3436,3908,4399,4895,5387,5802,6197,6561,6891,7184,7441,7606,7665,7721,7774,7825,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SMITHY GREEN,295,399,529,687,878,1107,1344,1609,1900,2214,2552,2914,3313,3730,4150,4567,4919,5253,5562,5842,6090,6308,6448,6498,6546,6591,6634,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SNAITHING PARK ROAD,752,949,1173,1431,1746,2138,2547,3011,3523,4077,4673,5313,6021,6760,7506,8245,8868,9459,10005,10499,10938,11324,11570,11657,11738,11817,11892,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SNELSINS LANE,457,606,789,1009,1275,1596,1929,2303,2715,3159,3637,4149,4714,5303,5898,6488,6986,7459,7896,8291,8642,8950,9148,9219,9285,9349,9410,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH ELMSALL,368,516,709,947,1232,1571,1921,2310,2738,3199,3694,4224,4809,5418,6033,6644,7160,7649,8102,8511,8875,9194,9399,9474,9544,9610,9673,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH FERRIBY,214,297,403,533,690,877,1069,1285,1521,1775,2049,2342,2665,3002,3342,3679,3964,4235,4485,4711,4912,5089,5202,5243,5281,5318,5353,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH KIRKBY,502,704,968,1293,1683,2147,2625,3158,3744,4374,5051,5776,6575,7409,8250,9085,9791,10460,11079,11639,12137,12573,12853,12956,13051,13142,13229,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH RESTON,136,185,248,323,414,523,636,763,902,1051,1212,1384,1574,1773,1973,2171,2339,2498,2645,2778,2896,3000,3066,3091,3113,3135,3155,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
SOUTH STREET,453,616,822,1073,1375,1737,2112,2530,2991,3487,4020,4591,5222,5879,6543,7201,7757,8284,8772,9213,9605,9949,10170,10250,10325,10396,10464,NPgY,Primary,NG FES - Falling Behind (without DH HPs),Number of electric cars and vans (hybrid and full electric)
