Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
HEBBURN WEST,2.631,2.928,2.928,2.925,2.926,2.931,2.937,2.950,2.963,2.978,2.991,3.003,3.016,3.027,3.041,3.055,3.068,3.081,3.094,3.106,3.117,3.126,3.134,3.139,3.144,3.150,3.154,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HEDWORTH,13.010,15.703,15.703,15.921,16.191,16.502,16.856,17.411,18.104,18.830,19.481,19.914,20.431,20.921,21.340,21.714,22.052,22.379,22.676,22.942,23.178,23.378,23.556,23.679,23.810,23.918,23.954,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HEIGHINGTON,12.880,12.880,12.880,12.782,12.697,12.621,12.555,12.499,12.451,12.411,12.378,12.352,12.332,12.317,12.306,12.300,12.297,12.293,12.289,12.285,12.281,12.276,12.272,12.266,12.261,12.256,12.251,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HEXHAM,22.150,22.450,22.450,22.574,22.737,22.945,23.208,23.656,24.200,24.765,25.393,26.018,26.553,27.028,27.420,27.767,28.074,28.369,28.632,28.867,29.075,29.249,29.403,29.502,29.605,29.686,29.704,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HIGH BARMSTON,18.642,18.642,18.642,18.910,19.274,19.721,20.241,21.000,21.890,22.833,23.711,24.378,25.095,25.768,26.361,26.870,27.301,27.704,28.060,28.359,28.606,28.805,28.961,29.047,29.129,29.192,29.213,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HIGH FLATTS,15.805,16.251,16.251,16.653,17.093,17.576,18.127,18.998,20.045,21.129,22.136,22.898,23.742,24.529,25.174,25.748,26.261,26.772,27.244,27.686,28.086,28.429,28.714,28.881,29.066,29.221,29.285,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HOUGHTON,18.680,19.170,19.170,19.733,20.338,20.981,21.674,22.724,23.783,24.883,25.880,26.697,27.468,28.128,28.720,29.256,29.745,30.227,30.671,31.095,31.477,31.792,32.069,32.256,32.460,32.636,32.719,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HOWDON,9.210,9.210,9.210,9.294,9.404,9.534,9.683,9.895,10.153,10.424,10.670,10.836,11.039,11.240,11.424,11.592,11.743,11.886,12.018,12.138,12.247,12.344,12.434,12.509,12.583,12.652,12.702,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HUNTINGTON NEW LANE,16.821,17.371,17.371,17.620,17.908,18.235,18.610,19.147,19.813,20.514,21.255,21.944,22.588,23.176,23.664,24.102,24.495,24.870,25.211,25.517,25.794,26.030,26.242,26.392,26.560,26.703,26.769,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
HUSTHWAITE 33/11KV,14.071,14.071,14.071,14.467,14.883,15.337,15.840,16.519,17.221,17.931,18.746,19.664,20.366,20.972,21.531,22.047,22.521,22.978,23.400,23.789,24.150,24.472,24.783,25.049,25.322,25.571,25.747,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
JARROW,4.689,4.689,4.689,4.727,4.782,4.853,4.939,5.042,5.155,5.271,5.385,5.500,5.607,5.705,5.797,5.882,5.961,6.031,6.095,6.150,6.199,6.240,6.273,6.292,6.315,6.334,6.348,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
KENTON,11.560,11.560,11.560,11.831,12.124,12.448,12.801,13.277,13.918,14.602,15.211,15.593,16.092,16.575,16.978,17.340,17.670,17.985,18.272,18.529,18.757,18.947,19.117,19.234,19.362,19.468,19.493,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
KIELDER,1.101,1.096,1.101,1.108,1.119,1.135,1.157,1.194,1.245,1.295,1.363,1.446,1.507,1.560,1.602,1.639,1.671,1.702,1.730,1.753,1.774,1.792,1.809,1.822,1.835,1.844,1.846,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
KILLINGWORTH,18.234,19.234,19.234,19.511,19.842,20.198,20.563,21.072,21.658,22.293,22.872,23.310,23.821,24.301,24.747,25.156,25.532,25.917,26.283,26.622,26.935,27.213,27.446,27.600,27.761,27.910,28.023,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
KIRBYMOORSIDE,10.106,10.106,10.106,10.249,10.418,10.610,10.832,11.187,11.590,12.013,12.528,13.113,13.546,13.915,14.215,14.484,14.723,14.955,15.164,15.351,15.520,15.664,15.804,15.918,16.030,16.123,16.160,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
LEAM CENTRAL,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
LINTON 66/20KV,7.999,8.379,8.379,8.612,8.872,9.155,9.477,9.985,10.535,11.092,11.785,12.595,13.168,13.642,14.023,14.359,14.652,14.934,15.183,15.411,15.616,15.787,15.950,16.078,16.206,16.311,16.341,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
LONGBENTON,16.670,16.670,16.670,16.882,17.114,17.393,17.726,18.202,18.924,19.692,20.399,20.860,21.491,22.117,22.634,23.095,23.509,23.909,24.277,24.601,24.892,25.142,25.343,25.451,25.577,25.676,25.699,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
LOW SPENNYMOOR,9.612,9.612,9.612,9.980,10.379,10.794,11.217,11.845,12.442,13.080,13.613,14.003,14.402,14.741,15.031,15.296,15.543,15.791,16.023,16.270,16.496,16.681,16.842,16.950,17.068,17.174,17.233,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
LYNEMOUTH,5.416,5.916,5.916,5.951,5.994,6.044,6.107,6.222,6.355,6.493,6.666,6.869,7.014,7.135,7.232,7.319,7.393,7.465,7.529,7.588,7.642,7.685,7.727,7.759,7.791,7.816,7.820,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MADDISON STREET,16.613,16.613,16.613,17.229,17.899,18.612,19.394,20.513,21.747,23.039,24.161,24.960,25.873,26.716,27.434,28.079,28.666,29.236,29.760,30.249,30.689,31.055,31.359,31.531,31.734,31.903,31.966,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MALLEABLE,17.145,22.568,22.568,22.925,23.338,23.789,24.252,24.827,25.448,26.112,26.707,27.156,27.660,28.145,28.610,29.048,29.463,29.869,30.255,30.622,30.968,31.284,31.589,31.862,32.134,32.395,32.619,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MALTON,20.705,22.353,22.353,22.651,23.027,23.449,23.885,24.511,25.156,25.890,26.636,27.354,27.976,28.517,28.981,29.406,29.790,30.174,30.528,30.850,31.141,31.388,31.612,31.778,31.942,32.088,32.169,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MEADOWFIELD,10.071,10.071,10.071,10.215,10.388,10.571,10.750,11.003,11.242,11.513,11.774,12.010,12.217,12.397,12.555,12.704,12.843,12.987,13.122,13.262,13.392,13.505,13.611,13.698,13.785,13.867,13.927,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MELROSEGATE 33/11KV,7.289,7.289,7.289,7.466,7.657,7.865,8.087,8.351,8.679,9.038,9.362,9.593,9.869,10.133,10.358,10.563,10.752,10.931,11.093,11.239,11.371,11.482,11.580,11.648,11.725,11.791,11.817,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MILLBANK LANE,16.239,18.428,18.428,18.882,19.378,19.905,20.475,21.263,22.159,23.093,23.945,24.642,25.454,26.228,26.918,27.548,28.123,28.721,29.294,29.815,30.302,30.740,31.072,31.236,31.426,31.602,31.753,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MONKSEATON,19.072,19.072,19.072,19.424,19.822,20.291,20.863,21.790,23.073,24.377,25.639,26.554,27.590,28.582,29.399,30.120,30.763,31.382,31.939,32.423,32.855,33.226,33.567,33.818,34.078,34.290,34.352,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MOOR MONKTON PUMPS,4.856,4.856,4.856,4.906,4.985,5.113,5.250,5.397,5.560,5.731,5.914,6.116,6.295,6.464,6.629,6.785,6.934,7.080,7.218,7.338,7.452,7.560,7.662,7.744,7.819,7.891,7.957,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MORPETH,18.761,20.029,20.029,20.495,21.017,21.578,22.172,23.022,23.871,24.777,25.637,26.416,27.110,27.702,28.211,28.675,29.100,29.521,29.905,30.272,30.603,30.876,31.116,31.276,31.449,31.598,31.665,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
MOUNT ROAD,17.622,17.622,17.622,17.775,17.958,18.200,18.506,19.022,19.847,20.713,21.517,21.995,22.654,23.310,23.841,24.306,24.715,25.107,25.456,25.756,26.018,26.238,26.434,26.563,26.696,26.796,26.796,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
NEWBURN HAUGH,5.783,6.416,6.416,6.468,6.541,6.630,6.734,6.922,7.206,7.512,7.790,7.935,8.143,8.354,8.522,8.667,8.791,8.912,9.018,9.109,9.187,9.251,9.314,9.366,9.416,9.455,9.458,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
