Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
AMBERTON ROAD,0,1,3,5,8,13,17,23,29,35,42,47,53,58,62,66,69,72,74,75,76,77,77,78,78,78,78,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
ANNFIELD 66/20KV,0,2,4,7,11,16,22,29,37,45,52,60,67,73,79,83,87,90,93,95,96,97,98,98,98,99,99,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
ASHINGTON,0,0,0,1,1,2,3,4,4,5,6,7,8,9,10,10,11,11,11,12,12,12,12,12,12,12,12,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
AYCLIFFE INDUSTRIAL,0,1,3,5,8,12,16,21,27,33,38,44,49,53,57,61,64,66,68,69,70,71,71,72,72,72,72,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BARDEN FRIAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BEDALE,1,3,6,12,19,28,38,51,64,78,92,104,116,127,137,145,152,158,162,165,167,169,170,171,172,172,172,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BELMONT,0,1,2,4,6,8,12,15,19,23,28,31,35,38,41,44,46,47,49,50,50,51,51,51,52,52,52,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BENSHAM,0,1,3,5,9,13,18,24,30,36,43,49,55,60,64,68,71,74,76,77,78,79,80,80,80,81,81,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BENTON SQUARE,1,3,6,12,19,27,38,50,63,77,91,104,116,126,136,144,151,156,161,164,166,168,169,170,171,171,171,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BENWELL,0,2,5,10,16,23,32,43,54,66,77,88,98,108,116,123,129,133,137,140,142,143,144,145,145,146,146,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BILLINGHAM MARSH HOUSE,2,8,17,31,49,73,101,134,169,205,242,276,308,337,362,384,402,417,428,437,443,447,450,452,454,455,455,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BILLY MILL,0,2,5,9,14,21,30,39,49,60,70,80,89,98,105,112,117,121,125,127,129,130,131,132,132,132,132,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BIRTLEY GROVE 66/11KV,2,10,23,42,67,99,137,181,229,278,328,374,417,456,490,520,544,564,580,591,600,606,610,613,615,616,616,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BIRTLEY GROVE 66/20KV,0,2,4,7,11,16,22,29,36,44,52,59,66,72,78,82,86,89,92,94,95,96,96,97,97,97,97,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BLAYDON BURN,1,4,10,18,29,42,59,78,98,120,141,161,179,196,211,223,234,242,249,254,258,260,262,263,264,265,265,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BLUCHER 33/11KV,0,2,5,9,14,20,28,37,47,57,67,77,85,93,101,107,112,116,119,121,123,124,125,126,126,126,126,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BOLDON DOWNHILL,0,1,3,6,10,14,20,26,33,40,47,54,60,66,71,75,79,82,84,85,87,88,88,89,89,89,89,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,2,8,18,33,52,77,108,142,179,218,257,293,326,357,384,407,426,442,454,463,470,474,478,480,482,482,482,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BOWESFIELD 33/11KV,1,6,14,26,41,61,84,111,140,171,201,229,255,280,301,319,334,346,355,363,368,371,374,376,377,378,378,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BOWESFIELD 66/11KV,0,1,3,5,8,11,16,21,26,32,38,43,48,53,56,60,63,65,67,68,69,70,70,71,71,71,71,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BRANCEPETH,0,1,2,3,4,7,9,12,15,18,22,25,28,30,33,35,36,37,38,39,40,40,41,41,41,41,41,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BREAMISH STREET,0,0,0,1,1,2,3,4,4,5,6,7,8,9,10,10,11,11,11,12,12,12,12,12,12,12,12,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
BRENDA TRADING,2,8,18,33,52,77,107,141,179,217,256,292,325,356,383,406,425,441,453,462,468,473,477,479,480,481,481,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CAMPLESHON ROAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CARLEY HILL,0,2,4,7,11,16,23,30,38,46,54,62,69,76,81,86,90,94,96,98,100,101,101,102,102,102,102,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CARLIN HOW T3 T4,0,0,1,2,3,4,5,7,9,11,13,15,16,18,19,20,21,22,23,23,23,24,24,24,24,24,24,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CARR HILL,1,3,7,13,21,31,43,56,71,86,102,116,129,142,152,161,169,175,180,184,186,188,189,190,191,191,191,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CATTERICK CAMP,0,1,2,4,7,10,13,18,22,27,32,36,41,45,48,51,53,55,57,58,59,59,60,60,60,60,60,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CLOSE,0,1,2,3,5,7,10,13,17,20,24,27,30,33,35,38,39,41,42,43,43,44,44,44,44,45,45,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CONEYTHORPE,0,1,3,6,9,13,18,24,30,37,44,50,55,61,65,69,72,75,77,79,80,80,81,81,82,82,82,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CONSETT,1,4,10,17,28,41,57,75,95,115,136,155,172,189,203,215,225,234,240,245,248,251,253,254,255,255,255,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CORPORATION STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CRAMLINGTON T1 T3,0,2,4,7,11,16,23,30,37,46,54,61,68,75,80,85,89,93,95,97,98,99,100,101,101,101,101,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
CRAMLINGTON T2 T4,1,3,7,13,21,31,44,58,73,89,104,119,133,145,156,165,173,180,184,188,191,193,194,195,196,196,196,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLINGTON 132/6KV,0,0,1,2,3,4,6,8,10,12,14,16,18,20,21,22,23,24,25,25,26,26,26,26,26,26,26,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLINGTON 33/11KV,0,1,2,3,5,7,10,13,17,20,24,27,30,33,35,38,39,41,42,43,43,44,44,44,44,45,45,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLINGTON CENTRAL 33/11KV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLINGTON EAST,1,7,16,28,46,67,94,123,156,190,223,255,284,311,334,354,371,385,395,403,409,413,416,418,419,420,420,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DARLINGTON WEST,2,10,22,40,64,95,132,174,220,267,315,359,400,438,471,500,523,542,557,568,576,582,586,589,591,592,592,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DENWICK,0,2,4,7,11,16,23,30,38,46,54,62,69,76,81,86,90,94,96,98,100,101,101,102,102,102,102,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DUNSTON 66/11KV,0,2,4,7,11,16,23,30,37,46,54,61,68,75,80,85,89,93,95,97,98,99,100,101,101,101,101,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DUNSTON 66/20KV,0,0,1,2,3,5,6,8,11,13,15,18,20,21,23,24,26,26,27,28,28,28,29,29,29,29,29,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
DURHAM EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
EASTFIELD,1,3,7,12,20,29,40,53,67,82,96,109,122,134,144,152,160,165,170,173,176,177,179,180,180,180,180,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
EASTGATE CEMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Number of electric HGVs
